C01 TITLE: 30-minute meteorological data 
C02 FILE NAME: cmn644n00.isac.xx.xx.met.nl.ev2011.dat 
C03 DATA FORMAT: Version 1.1
C04 TOTAL LINES: 17552
C05 HEADER LINES: 32
C06 DATA VERSION: 201312
C07 STATION NAME: Monte Cimone
C08 STATION CATEGORY: Global
C09
C10 COUNTRY/TERRITORY: Italy
C11 CONTRIBUTOR: ISAC
C12 LATITUDE: 44.18
C13 LONGITUDE: 10.7
C14 ALTITUDE: 2165
C15
C16
C17
C18 PARAMETER: WD WS RH AP AT
C19 COVERING PERIOD: 2011-01-01 2011-12-31
C20 TIME INTERVAL: 30 minutes
C21 MEASUREMENT UNIT: deg m/s % hPa Celsius 
C22
C23
C24 TIME ZONE: Local time UTC+1
C25
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:  
C31
DATE  TIME    WD    WS    RH     AP    AT
2011-01-03 21:45 -99.9 -99.9  93.6  788.4  -8.8 
2011-01-03 22:15 -99.9 -99.9  93.3  788.5  -8.7 
2011-01-03 22:45 -99.9 -99.9  93.0  788.5  -8.7 
2011-01-03 23:15 -99.9 -99.9  91.4  788.6  -8.9 
2011-01-03 23:45 -99.9 -99.9  90.7  788.5  -8.9 
2011-01-04 00:15 -99.9 -99.9  90.0  788.5  -8.8 
2011-01-04 00:45 -99.9 -99.9  90.2  788.2  -8.3 
2011-01-04 01:15 -99.9 -99.9  88.9  787.9  -8.1 
2011-01-04 01:45 -99.9 -99.9  88.0  787.7  -8.0 
2011-01-04 02:15 -99.9 -99.9  82.3  787.7  -8.2 
2011-01-04 02:45 -99.9 -99.9  82.9  787.6  -8.6 
2011-01-04 03:15 -99.9 -99.9  82.7  787.6  -8.8 
2011-01-04 03:45 -99.9 -99.9  78.4  787.5  -8.9 
2011-01-04 04:15 -99.9 -99.9  73.2  787.4  -9.5 
2011-01-04 04:45 -99.9 -99.9  68.8  787.3  -9.4 
2011-01-04 05:15 -99.9 -99.9  58.4  787.0  -8.6 
2011-01-04 05:45 -99.9 -99.9  45.1  786.8  -7.9 
2011-01-04 06:15 -99.9 -99.9  35.2  786.5  -7.5 
2011-01-04 06:45 -99.9 -99.9  28.4  786.3  -7.2 
2011-01-04 07:15 -99.9 -99.9  27.9  786.3  -7.8 
2011-01-04 07:45 -99.9 -99.9  26.7  786.5  -8.3 
2011-01-04 08:15 -99.9 -99.9  25.3  786.6  -8.0 
2011-01-04 08:45 -99.9 -99.9  26.0  786.7  -8.4 
2011-01-04 09:15 -99.9 -99.9  31.8  786.7  -8.4 
2011-01-04 09:45 -99.9 -99.9  33.1  786.7  -8.2 
2011-01-04 10:15 -99.9 -99.9  37.5  786.8  -7.8 
2011-01-04 10:45 -99.9 -99.9  53.4  786.7  -7.5 
2011-01-04 11:15 -99.9 -99.9  61.0  786.5  -7.2 
2011-01-04 11:45 -99.9 -99.9  71.9  786.4  -7.6 
2011-01-04 12:15 -99.9 -99.9  86.2  786.2  -8.5 
2011-01-04 12:45 -99.9 -99.9  88.8  786.1  -9.0 
2011-01-04 13:15 -99.9 -99.9  79.0  785.8  -8.6 
2011-01-04 13:45 -99.9 -99.9  79.0  785.6  -7.9 
2011-01-04 14:15 -99.9 -99.9  92.1  785.5  -8.9 
2011-01-04 14:45 -99.9 -99.9  95.9  785.6  -9.3 
2011-01-04 15:15 -99.9 -99.9  95.9  785.8  -9.3 
2011-01-04 15:45 -99.9 -99.9  94.5  785.8  -9.7 
2011-01-04 16:15 -99.9 -99.9  95.0  785.9  -9.8 
2011-01-04 16:45 -99.9 -99.9  94.3  785.9  -9.9 
2011-01-04 17:15 -99.9 -99.9  94.4  786.0 -10.0 
2011-01-04 17:45 -99.9 -99.9  93.5  786.1 -10.3 
2011-01-04 18:15 -99.9 -99.9  93.0  786.3 -10.3 
2011-01-04 18:45 -99.9 -99.9  93.0  786.5 -10.4 
2011-01-04 19:15 -99.9 -99.9  93.0  786.5 -10.5 
2011-01-04 19:45 -99.9 -99.9  93.0  786.5 -10.5 
2011-01-04 20:15 -99.9 -99.9  93.3  786.5 -10.3 
2011-01-04 20:45 -99.9 -99.9  94.1  786.3 -10.0 
2011-01-04 21:15 -99.9 -99.9  94.3  786.3  -9.5 
2011-01-04 21:45 -99.9 -99.9  94.6  786.3  -9.1 
2011-01-04 22:15 -99.9 -99.9  94.1  786.4  -9.0 
2011-01-04 22:45 -99.9 -99.9  94.0  786.5  -9.0 
2011-01-04 23:15 -99.9 -99.9  93.7  786.5  -9.2 
